Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,AAPL,COKE,SPY,AAPL,COKE,SPY,AAPL,COKE,SPY,AAPL,COKE,SPY,AAPL,COKE,SPY
Date,,,,,,,,,,,,,,,
2010-01-04,6.447412014007568,46.17546463012695,86.02645111083984,6.4621740257756315,46.726915816838456,86.07199401172878,6.398305598620858,45.00362921491084,84.64492713449737,6.429938538443087,45.90835402354117,85.29773574004199,493729600,30600,118944600
2010-01-05,6.458559513092041,45.01224899291992,86.25416564941406,6.495012835085951,46.02037011102346,86.29212192516471,6.424515979042845,44.8140681345956,85.66208481211747,6.465187536085361,46.02037011102346,85.97331005759186,601904800,17800,111579900
2010-01-06,6.3558244705200195,45.19319152832031,86.31492614746094,6.484164219341534,45.54646514817067,86.52746747321044,6.349196450759026,45.012247225035374,86.10238482171142,6.4585563634085394,45.012247225035374,86.17069919442372,552160000,8400,116074400
2010-01-07,6.344078540802002,44.57278823852539,86.67926788330078,6.386859021332413,45.39134967691019,86.7855385229311,6.2979848526958895,43.81454154210408,85.91259616198307,6.379327175775168,45.39134967691019,86.15550130846887,477131200,20900,131091100
2010-01-08,6.386255264282227,44.3746223449707,86.96773529052734,6.386858214085341,44.83991043608652,87.00569158083523,6.298286134935385,44.13336331412893,86.27697597919473,6.335642475238813,44.3746223449707,86.45156101545072,447610800,6300,126402800
2010-01-11,6.329919815063477,44.22813415527344,87.08917999267578,6.416985535433052,44.48662638262353,87.39280711224035,6.279909165528977,43.943790404353436,86.71722692597184,6.410960059047031,44.409078385727796,87.35485661795282,462229600,11600,106375700
2010-01-12,6.257915019989014,43.7283821105957,86.2769546508789,6.319675337060301,44.0558073698859,86.69444478447501,6.218750637423349,43.53020461565635,85.94295791094973,6.302201056536096,43.94379285990898,86.51226737692971,594459600,14000,163333500
2010-01-13,6.34618616104126,45.18456268310547,87.00567626953125,6.35462182634198,45.632617486583264,87.24858142733152,6.148857076807138,43.68530553964856,86.05682709198089,6.26243487119816,43.77146853431801,86.49708870896427,605892000,20400,161822000
2010-01-14,6.30942964553833,44.84852981567383,87.24097442626953,6.340460429233055,45.2104216843028,87.40038036648855,6.2970778281311075,43.61637972416269,86.8538424049863,6.3299162537246225,45.2104216843028,86.90697771839264,432894000,10600,115718800
2010-01-15,6.203988552093506,43.9351921081543,86.2617416381836,6.374807153935941,45.36551981544593,87.17263416961478,6.202180909533142,43.61638172932484,85.9277450073792,6.35462181201188,45.02086119013613,87.08914080322717,594067600,14500,212283100
2010-01-19,6.4784417152404785,44.17644119262695,87.33964538574219,6.482960821085771,44.210907704752316,87.39278069473559,6.2434542448044095,43.71115313965706,86.22379810556613,6.276291873909706,43.943797166142005,86.24657534483275,730007600,13300,139172700
2010-01-20,6.378724098205566,43.77147674560547,86.45154571533203,6.493807463624537,44.3487794362938,86.87662829322905,6.311541252356983,43.53883267206612,85.76078652624938,6.474526344050393,44.00412081914481,86.74758619512686,612152800,10600,216490200
2010-01-21,6.268458843231201,43.08216094970703,84.78914642333984,6.4263230685152175,44.11613346988161,86.73997978400108,6.24255010550228,43.08216094970703,84.68287579601315,6.389267604400781,43.94380416870117,86.47430321568434,608154400,15600,344859600
